I
640 Version - Iran FIR custom airways (from AIP, generated)
DHN    35.254167   52.720000 BUBUX  35.506389   52.803889 1 150 600 A414
BUBUX  35.506389   52.803889 LABET  36.163889   53.024167 1 150 600 A414
LABET  36.163889   53.024167 DNZ    36.648056   53.188889 1 150 600 A414
DNZ    36.648056   53.188889 DATOL  36.788056   53.785000 1 070 600 A414
DATOL  36.788056   53.785000 IMPIR  36.832778   53.979444 1 070 600 A414
IMPIR  36.832778   53.979444 GGN    36.928889   54.375833 1 070 600 A414
GGN    36.928889   54.375833 ALNIT  37.006111   54.779167 1 110 600 A414
ALNIT  37.006111   54.779167 ORSEK  37.088056   55.185833 1 130 600 A414
ORSEK  37.088056   55.185833 EGLUL  37.401944   56.815278 1 130 600 A414
EGLUL  37.401944   56.815278 BRD    37.495000   57.323056 1 130 600 A414
BRD    37.495000   57.323056 DEBER  37.835000   58.033333 1 130 600 A414
TBZ    38.148056   46.212778 EGVON  38.279722   47.905833 1 200 600 A416
EGVON  38.279722   47.905833 ARB    38.315556   48.434722 1 200 600 A416
ARB    38.315556   48.434722 GIVTA  38.013889   48.795556 1 130 600 A416
GIVTA  38.013889   48.795556 GABMI  37.687500   49.181111 1 130 600 A416
GABMI  37.687500   49.181111 RST    37.326111   49.615833 1 130 600 A416
RST    37.326111   49.615833 KOBUB  37.105833   50.175278 1 090 600 A416
KOBUB  37.105833   50.175278 EGMAN  37.053056   50.307500 1 130 600 A416
EGMAN  37.053056   50.307500 RSR    36.903333   50.680278 1 130 600 A416
RSR    36.903333   50.680278 ALKUP  36.783889   51.069167 1 090 600 A416
ALKUP  36.783889   51.069167 NSH    36.662778   51.464167 1 090 600 A416
NSH    36.662778   51.464167 IMKER  36.660556   51.877500 1 100 600 A416
IMKER  36.660556   51.877500 MODEK  36.655000   52.568611 1 100 600 A416
MODEK  36.655000   52.568611 DNZ    36.648056   53.188889 1 100 600 A416
DNZ    36.648056   53.188889 DATOL  36.788056   53.785000 1 070 600 A416
DATOL  36.788056   53.785000 IMPIR  36.832778   53.979444 1 070 600 A416
IMPIR  36.832778   53.979444 GGN    36.928889   54.375833 1 070 600 A416
GGN    36.928889   54.375833 LOVEN  36.657222   55.565278 1 160 600 A416
LOVEN  36.657222   55.565278 ODKOL  36.526667   56.117222 1 160 600 A416
ODKOL  36.526667   56.117222 SBZ    36.169444   57.570833 1 160 600 A416
SBZ    36.169444   57.570833 LOXED  35.981667   58.102500 1 160 600 A416
LOXED  35.981667   58.102500 RIBUX  36.020000   58.446389 1 130 600 A416
RIBUX  36.020000   58.446389 MSD    36.231111   59.650556 1 200 600 A416
MSD    36.231111   59.650556 SOGES  35.266667   59.972778 1 260 600 A416
SOGES  35.266667   59.972778 SOKAM  33.221111   60.631667 1 260 600 A416
SYZ    29.540000   52.588611 SITEN  29.035278   52.925556 1 130 600 A418
SITEN  29.035278   52.925556 KASOL  28.529722   53.259167 1 130 600 A418
KASOL  28.529722   53.259167 VEKUP  27.905278   53.481389 1 130 600 A418
VEKUP  27.905278   53.481389 SOKEV  27.482222   53.630278 1 130 600 A418
SOKEV  27.482222   53.630278 PURNA  26.848889   53.845833 1 080 600 A418
PURNA  26.848889   53.845833 KIS    26.528889   53.953611 1 080 600 A418
KIS    26.528889   53.953611 VEKEL  26.324722   53.955833 1 050 600 A418
VEKEL  26.324722   53.955833 ORSAR  26.075000   53.958333 1 050 600 A418
UMH    37.687222   45.084167 RABEM  37.811389   45.496944 1 100 600 A422
RABEM  37.811389   45.496944 SETNA  37.937500   45.922778 1 100 600 A422
SETNA  37.937500   45.922778 TBZ    38.148056   46.212778 1 220 600 A422
TBZ    38.148056   46.212778 MURID  38.462222   46.590278 1 220 600 A422
MURID  38.462222   46.590278 DARUN  38.560833   46.709722 1 220 600 A422
DARUN  38.560833   46.709722 DASDA  38.693056   46.870556 1 220 600 A422
DASDA  38.693056   46.870556 PAD    39.578333   47.967222 1 220 600 A422
PAD    39.578333   47.967222 PARSU  39.630000   48.080000 1 220 600 A422
PIRAN  29.568611   61.135833 ZDN    29.486667   60.901389 1 120 600 A453
ZDN    29.486667   60.901389 ULOVI  29.330000   60.574722 1 120 600 A453
ULOVI  29.330000   60.574722 PUVMI  29.245556   60.399167 1 120 600 A453
PUVMI  29.245556   60.399167 PEKES  28.991389   59.872500 1 150 600 A453
PEKES  28.991389   59.872500 NABOX  28.275000   58.433611 1 150 600 A453
NABOX  28.275000   58.433611 DAVEP  27.707222   57.335833 1 150 600 A453
