I
810 Version - Iran FIR custom navaids (from AIP, generated)
3  30.37527778   48.22055556      0 11510 130    0.0 ABD  ABADAN VOR
12 30.37527778   48.22055556      0 11510  25    0.0 ABD  ABADAN DME
2  25.87777778   55.02277778     32   285  50    0.0 ABM  ABUMUSAISLAND NDB
12 25.87777778   55.02277778     32 11540  25    0.0 ABM  ABUMUSAISLAND DME
3  31.33750000   48.76444444      0 11400 130    4.0 AWZ  AHWAZ VOR
12 31.33750000   48.76444444      0 11400  25    0.0 AWZ  AHWAZ DME
3  30.74472222   49.68027778     51 11490 130    3.5 AJR  AGHAJARI VOR
12 30.74472222   49.68027778     51 11490  25    0.0 AJR  AGHAJARI DME
3  33.53750000   53.72944444      0 11270 130    3.0 ANK  ANARAK VOR
12 33.53750000   53.72944444      0 11270  25    0.0 ANK  ANARAK DME
3  34.13694444   49.85361111   5449 11480 130    4.0 ARK  ARAK VOR
12 34.13694444   49.85361111   5449 11480  25    0.0 ARK  ARAK DME
3  38.31555556   48.43472222   4307 11570 130    6.0 ARB  ARDABIL VOR
12 38.31555556   48.43472222   4307 11570  25    0.0 ARB  ARDABIL DME
3  29.07722222   58.45833333   3145 11490 130    2.0 BAM  BAM VOR
12 29.07722222   58.45833333   3145 11490  25    0.0 BAM  BAM DME
3  27.19694444   56.36666667     13 11720 130    2.0 BND  BANDAR ABBAS VOR
12 27.19694444   56.36666667     13 11720  25    0.0 BND  BANDAR ABBAS DME
3  26.53611111   54.85111111     72 11480 130    2.0 LEN  BANDAR LENGEH VOR
12 26.53611111   54.85111111     72 11480  25    0.0 LEN  BANDAR LENGEH DME
3  30.55611111   49.14944444      0 11580 130    4.0 MAH  BANDAR MAHSHAHR VOR
12 30.55611111   49.14944444      0 11580  25    0.0 MAH  BANDAR MAHSHAHR DME
3  32.97222222   59.20000000      0 11350 130    3.0 BJD  BIRJAND VOR
12 32.97222222   59.20000000      0 11350  25    0.0 BJD  BIRJAND DME
3  37.49500000   57.32305556      0 11480 130    5.0 BRD  BOJNORD VOR
12 37.49500000   57.32305556      0 11480  25    0.0 BRD  BOJNORD DME
3  28.95111111   50.82583333     24 11745 130    3.0 BUZ  BUSHEHR VOR
12 28.95111111   50.82583333     24 11745  25    0.0 BUZ  BUSHEHR DME
3  25.44472222   60.41416667      0 11560 130    1.0 CBH  CHAH BAHAR VOR
12 25.44472222   60.41416667      0 11560  25    0.0 CBH  CHAH BAHAR DME
3  31.78305556   56.99444444      0 11370 130    2.5 DAR  DARBAND VOR
12 31.78305556   56.99444444      0 11370  25    0.0 DAR  DARBAND DME
3  36.64805556   53.18888889      0 11310 130    5.0 DNZ  DASHT-E-NAZ VOR
12 36.64805556   53.18888889      0 11310  25    0.0 DNZ  DASHT-E-NAZ DME
3  35.25416667   52.72000000      0 11450 130    5.0 DHN  DEHNAMAK VOR
12 35.25416667   52.72000000      0 11450  25    0.0 DHN  DEHNAMAK DME
2  32.43777778   48.37805556      0   293  50    0.0 DZF  DEZFUL NDB
3  32.74694444   51.82777778   5072 11320 130    4.0 ISN  ESFAHAN VOR
12 32.74694444   51.82777778   5072 11320  25    0.0 ISN  ESFAHAN DME
2  26.76305556   55.90750000     31   335  50    0.0 KHM  GHESHM ISLAND NDB
12 26.76305556   55.90750000     31 11710  25    0.0 KHM  GHESHM ISLAND DME
3  36.92888889   54.37583333      0 11760 130    5.0 GGN  GORGAN VOR
12 36.92888889   54.37583333      0 11760  25    0.0 GGN  GORGAN DME
3  34.86666667   48.55027778   5717 11790 130    5.0 HAM  HAMADAN HAMADAN VOR
12 34.86666667   48.55027778   5717 11790  25    0.0 HAM  HAMADAN HAMADAN DME
3  35.20944444   48.65861111      0 11540 130    3.5 HAB  HAMADAN /Nogeh VOR
13 35.20944444   48.65861111      0 11540 130    0.0 HAB  HAMADAN /Nogeh VORTAC
3  33.57833333   46.41527778   4426 11260 130    5.0 ILM  ILAM VOR
12 33.57833333   46.41527778   4426 11260  25    0.0 ILM  ILAM DME
3  35.40944444   51.17833333   3271 11430 130    5.0 IKA  IMAM KHOMAINI VOR
12 35.40944444   51.17833333   3271 11430  25    0.0 IKA  IMAM KHOMAINI DME
3  27.23416667   60.72222222      0 11700 130    2.0 ISR  IRAN SHAHR VOR
12 27.23416667   60.72222222      0 11700  25    0.0 ISR  IRAN SHAHR DME
2  25.65138889   57.78333333      0   349  50    0.0 JSK  JASK NDB
2  37.38805556   55.45638889      0   325  50    0.0 KLH  KALALEH NDB
3  34.33972222   47.16888889   4308 11460 130    3.5 KMS  KERMANSHAH VOR
12 34.33972222   47.16888889   4308 11460  25    0.0 KMS  KERMANSHAH DME
3  29.26388889   50.31666667      0 11340 130    2.5 KHG  KHARK ISLAND VOR
12 29.26388889   50.31666667      0 11340  25    0.0 KHG  KHARK ISLAND DME
3  33.43416667   48.29166667   3791 11375 130    4.0 KRD  KHORAM ABAD VOR
12 33.43416667   48.29166667   3791 11375  25    0.0 KRD  KHORAM ABAD DME
3  38.43361111   44.96611111   3844 11490 130    5.5 KHY  KHOY VOR
12 38.43361111   44.96611111   3844 11490  25    0.0 KHY  KHOY DME
3  26.52888889   53.95361111     56 11740 130    3.0 KIS  KISH ISLAND VOR
12 26.52888889   53.95361111     56 11740  25    0.0 KIS  KISH ISLAND DME
3  27.37277778   53.18388889   1329 11700 130    2.0 LAM  LAMERD VOR
12 27.37277778   53.18388889   1329 11700  25    0.0 LAM  LAMERD DME
3  27.67500000   54.41500000   2610 11790 130    3.0 LAR  LAR VOR
12 27.67500000   54.41500000   2610 11790  25    0.0 LAR  LAR DME
3  26.81194444   53.35583333      0 11685 130    2.0 LVA  LAVAN ISLAND VOR
12 26.81194444   53.35583333      0 11685  25    0.0 LVA  LAVAN ISLAND DME
3  36.23111111   59.65055556   3251 11400 130    4.0 MSD  MASHHAD VOR
12 36.23111111   59.65055556   3251 11400  25    0.0 MSD  MASHHAD DME
3  36.66277778   51.46416667      0 11610 130    5.0 NSH  NOSHAHR VOR
12 36.66277778   51.46416667      0 11610  25    0.0 NSH  NOSHAHR DME
2  39.57833333   47.96722222      0   450  50    0.0 PAD  PARSABADE MOGHAN NDB
3  39.60305556   47.88972222      0 11220 130    6.0 PAD  PARSABADE MOGHA VOR
12 39.60305556   47.88972222      0 11220  25    0.0 PAD  PARSABADE MOGHA DME
3  27.36027778   52.76444444     21 11210 130    3.0 PRG  PERSIAN GULF VOR
12 27.36027778   52.76444444     21 11210  25    0.0 PRG  PERSIAN GULF DME
2  30.30250000   56.05555556      0   260  50    0.0 RAF  RAFSANJAN NDB
12 30.30250000   56.05555556      0 11230  25    0.0 RAF  RAFSANJAN DME
2  36.90333333   50.68027778    -21   332  50    0.0 RSR  RAMSAR NDB
12 36.90333333   50.68027778    -21 11550  25    0.0 RSR  RAMSAR DME
3  37.32611111   49.61583333    -42 11260 130    5.0 RST  RASHT VOR
12 37.32611111   49.61583333    -42 11260  25    0.0 RST  RASHT DME
3  35.44527778   50.90527778   3661 11695 130    0.0 RUS  RUDESHUR VOR
12 35.44527778   50.90527778   3661 11695  25    0.0 RUS  RUDESHUR DME
3  36.16944444   57.57083333      0 11700 130    4.0 SBZ  SABZEVAR VOR
12 36.16944444   57.57083333      0 11700  25    0.0 SBZ  SABZEVAR DME
3  35.23861111   47.00805556      0 11650 130    5.0 SNJ  SANANDAJ VOR
12 35.23861111   47.00805556      0 11650  25    0.0 SNJ  SANANDAJ DME
2  27.41500000   62.32527778      0   300  50    0.0 SRN  SARAVAN NDB
12 27.41500000   62.32527778      0 11410  25    0.0 SRN  SARAVAN DME
2  35.01833333   50.37111111      0   408  50    0.0 SAV  SAVEH NDB
12 35.01833333   50.37111111      0 11520  25    0.0 SAV  SAVEH DME
3  29.54000000   52.58861111      0 11780 130    3.0 SYZ  SHIRAZ VOR
12 29.54000000   52.58861111      0 11780  25    0.0 SYZ  SHIRAZ DME
3  36.42277778   55.08861111      0 11510 130    5.0 SHR  SHAHROUD VOR
12 36.42277778   55.08861111      0 11510  25    0.0 SHR  SHAHROUD DME
3  29.55611111   55.66027778   5801 11460 130    3.0 SRJ  SIRJAN VOR
12 29.55611111   55.66027778   5801 11460  25    0.0 SRJ  SIRJAN DME
3  25.91444444   54.53500000     23 11375 130    2.0 SIR  SIRRI ISLAND VOR
12 25.91444444   54.53500000     23 11375  25    0.0 SIR  SIRRI ISLAND DME
3  33.67250000   56.89166667      0 11300 130    3.5 TBS  TABAS VOR
12 33.67250000   56.89166667      0 11300  25    0.0 TBS  TABAS DME
3  38.14805556   46.21277778      0 11770 130    5.0 TBZ  TABRIZ VOR
12 38.14805556   46.21277778      0 11770  25    0.0 TBZ  TABRIZ DME
3  30.28277778   56.94222222      0 11200 130    0.0 KER  KERMAN VOR
12 30.28277778   56.94222222      0 11200  25    0.0 KER  KERMAN DME
3  35.69694444   51.28361111   3989 11530 130    5.0 TRN  TEHRAN VOR
12 35.69694444   51.28361111   3989 11530  25    0.0 TRN  TEHRAN DME
3  37.68722222   45.08416667   4265 11350 130    5.0 UMH  UROMIYEH VOR
12 37.68722222   45.08416667   4265 11350  25    0.0 UMH  UROMIYEH DME
2  35.34250000   51.63694444      0   373  50    0.0 VR   VARAMIN NDB
3  30.69333333   51.55666667      0 11655 130    4.0 YSJ  YASOUJ VOR
12 30.69333333   51.55666667      0 11655  25    0.0 YSJ  YASOUJ DME
3  31.89750000   54.28250000   4047 11770 130    3.0 YZD  YAZD VOR
12 31.89750000   54.28250000   4047 11770  25    0.0 YZD  YAZD DME
3  31.09527778   61.54166667      0 11310 130    3.0 ZAL  ZABOL VOR
12 31.09527778   61.54166667      0 11310  25    0.0 ZAL  ZABOL DME
3  29.48666667   60.90138889   4487 11600 130    2.0 ZDN  ZAHEDAN VOR
12 29.48666667   60.90138889   4487 11600  25    0.0 ZDN  ZAHEDAN DME
3  36.77944444   48.35305556   5348 11440 130    5.0 ZAJ  ZANJAN VOR
12 36.77944444   48.35305556   5348 11440  25    0.0 ZAJ  ZANJAN DME
# --- ILS records added from AIP (OICC/OIIE/OIII/OIMM/OISS) ---
4  34.35182847   47.14332884   4297 11110  18      292.590 IKMS OICC 29  ILS-cat-I
6  34.33909722   47.17483056   4297 11110  10   300292.590 IKMS OICC 29  GS
12 34.33909722   47.17483056   4297 11110  25     0.000 IKMS OICC 29  DME-ILS
4  35.42534338   51.12210957   3275 11030  18      283.860 IIKA OIIE 29R ILS-cat-II
6  35.41314722   51.16595278   3275 11030  10   300283.860 IIKA OIIE 29R GS
12 35.41314722   51.16595278   3275 11030  25     0.000 IIKA OIIE 29R DME-ILS
4  35.69462703   51.29155612   3981 10990  18      284.680 ITHL OIII 29L ILS-cat-I
6  35.68241389   51.33362778   3981 10990  10   330284.680 ITHL OIII 29L GS
12 35.68241389   51.33362778   3981 10990  25     0.000 ITHL OIII 29L DME-ILS
4  35.69554241   51.29569344   3858 11070  18      284.650 ITRN OIII 29R ILS-cat-I
6  35.68452222   51.33371667   3858 11070  10   330284.650 ITRN OIII 29R GS
12 35.68452222   51.33371667   3858 11070  25     0.000 ITRN OIII 29R DME-ILS
4  36.24763918   59.62637404   3262 10990  18      309.600 IMSD OIMM 31R ILS-cat-I
6  36.22401389   59.65714167   3262 10990  10   300309.600 IMSD OIMM 31R GS
12 36.22401389   59.65714167   3262 10990  25     0.000 IMSD OIMM 31R DME-ILS
4  29.54510180   52.56900672   4866 10990  18      291.480 ISYZ OISS 29L ILS-cat-I
6  29.52919167   52.60918889   4866 10990  10   300291.480 ISYZ OISS 29L GS
12 29.52919167   52.60918889   4866 10990  25     0.000 ISYZ OISS 29L DME-ILS
99
